date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:14:33	5856/5856	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Apr%202023%2023:14:32%20GMT	https://texttools.org/word-count	/home/Olie/websites/Main/texttools.org/word-count.html	(from https://texttools.org/)
00:14:34	6394/6394	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Apr%202023%2023:14:33%20GMT	https://texttools.org/add-prefix-suffix	/home/Olie/websites/Main/texttools.org/add-prefix-suffix.html	(from https://texttools.org/)
00:14:35	7360/7360	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Apr%202023%2023:14:34%20GMT	https://texttools.org/add-line-breaks	/home/Olie/websites/Main/texttools.org/add-line-breaks.html	(from https://texttools.org/)
00:14:36	7048/7048	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Apr%202023%2023:14:35%20GMT	https://texttools.org/remove-line-breaks	/home/Olie/websites/Main/texttools.org/remove-line-breaks.html	(from https://texttools.org/)
00:14:37	7260/7260	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Apr%202023%2023:14:36%20GMT	https://texttools.org/concatenate-text	/home/Olie/websites/Main/texttools.org/concatenate-text.html	(from https://texttools.org/)
00:14:38	7690/7690	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Apr%202023%2023:14:37%20GMT	https://texttools.org/split-text	/home/Olie/websites/Main/texttools.org/split-text.html	(from https://texttools.org/)
00:14:39	6966/6966	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Apr%202023%2023:14:38%20GMT	https://texttools.org/extract-column	/home/Olie/websites/Main/texttools.org/extract-column.html	(from https://texttools.org/)
00:14:40	7100/7100	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Apr%202023%2023:14:39%20GMT	https://texttools.org/swap-columns	/home/Olie/websites/Main/texttools.org/swap-columns.html	(from https://texttools.org/)
00:14:41	5704/5704	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Apr%202023%2023:14:40%20GMT	https://texttools.org/reverse-words	/home/Olie/websites/Main/texttools.org/reverse-words.html	(from https://texttools.org/)
00:14:42	5767/5767	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Apr%202023%2023:14:41%20GMT	https://texttools.org/reverse-letters	/home/Olie/websites/Main/texttools.org/reverse-letters.html	(from https://texttools.org/)
00:14:43	6408/6408	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Apr%202023%2023:14:42%20GMT	https://texttools.org/remove-extra-spaces	/home/Olie/websites/Main/texttools.org/remove-extra-spaces.html	(from https://texttools.org/)
00:14:44	6347/6347	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Apr%202023%2023:14:43%20GMT	https://texttools.org/remove-duplicate-lines	/home/Olie/websites/Main/texttools.org/remove-duplicate-lines.html	(from https://texttools.org/)
00:14:45	5590/5590	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Apr%202023%2023:14:44%20GMT	https://texttools.org/remove-empty-lines	/home/Olie/websites/Main/texttools.org/remove-empty-lines.html	(from https://texttools.org/)
00:14:46	5814/5814	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Apr%202023%2023:14:45%20GMT	https://texttools.org/remove-letter-accents	/home/Olie/websites/Main/texttools.org/remove-letter-accents.html	(from https://texttools.org/)
00:14:47	6835/6835	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Apr%202023%2023:14:46%20GMT	https://texttools.org/remove-unwanted-characters	/home/Olie/websites/Main/texttools.org/remove-unwanted-characters.html	(from https://texttools.org/)
00:14:48	5874/5874	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Apr%202023%2023:14:47%20GMT	https://texttools.org/remove-lines-containing	/home/Olie/websites/Main/texttools.org/remove-lines-containing.html	(from https://texttools.org/)
00:14:49	5522/5522	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Apr%202023%2023:14:48%20GMT	https://texttools.org/remove-emojis	/home/Olie/websites/Main/texttools.org/remove-emojis.html	(from https://texttools.org/)
00:14:50	6069/6069	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Apr%202023%2023:14:49%20GMT	https://texttools.org/strip-html-tags	/home/Olie/websites/Main/texttools.org/strip-html-tags.html	(from https://texttools.org/)
00:14:51	8120/8120	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Apr%202023%2023:14:50%20GMT	https://texttools.org/add-line-numbers	/home/Olie/websites/Main/texttools.org/add-line-numbers.html	(from https://texttools.org/)
00:14:52	6478/6478	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Apr%202023%2023:14:51%20GMT	https://texttools.org/add-commas-to-numbers	/home/Olie/websites/Main/texttools.org/add-commas-to-numbers.html	(from https://texttools.org/)
00:14:53	5878/5878	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Apr%202023%2023:14:52%20GMT	https://texttools.org/replace-smart-straight-quotes	/home/Olie/websites/Main/texttools.org/replace-smart-straight-quotes.html	(from https://texttools.org/)
00:14:53	6888/6888	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Apr%202023%2023:14:53%20GMT	https://texttools.org/tabs-to-spaces	/home/Olie/websites/Main/texttools.org/tabs-to-spaces.html	(from https://texttools.org/)
00:14:55	5413/5413	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Apr%202023%2023:14:54%20GMT	https://texttools.org/spaces-to-tabs	/home/Olie/websites/Main/texttools.org/spaces-to-tabs.html	(from https://texttools.org/)
00:14:56	6073/6073	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Apr%202023%2023:14:55%20GMT	https://texttools.org/pad-text	/home/Olie/websites/Main/texttools.org/pad-text.html	(from https://texttools.org/)
00:14:57	6032/6032	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Apr%202023%2023:14:56%20GMT	https://texttools.org/word-wrap	/home/Olie/websites/Main/texttools.org/word-wrap.html	(from https://texttools.org/)
00:14:58	5782/5782	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Apr%202023%2023:14:57%20GMT	https://texttools.org/justify-text	/home/Olie/websites/Main/texttools.org/justify-text.html	(from https://texttools.org/)
00:14:59	5697/5697	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Apr%202023%2023:14:58%20GMT	https://texttools.org/center-text	/home/Olie/websites/Main/texttools.org/center-text.html	(from https://texttools.org/)
